controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_planner_mode,planner_mode_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,mean_crossing_score,mean_recoverability_score,initial_angular_momentum_ratio,final_angular_momentum_ratio,max_speed_ratio,overspeed,turning_point_count,burn_steps,coast_steps,burn_ratio,transfer_burn_count,safety_coast_steps,classification_counts_json
baseline_soft_linear_3e4,1.05,165.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000070417.7031,377230357181.69336,295.67407237481086,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.9040402355228755,-0.057352915661626036,-0.9878120631528458,,,,,0.942647084338374,0.012187936847154232,0.646689936997324,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999922910.91016,150679843258.92676,38.23173254753143,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306496,1.0405272805422932,-0.005193942399973062,-0.9781703975483116,,,,,0.9948060576000269,0.021829602451688423,0.6809424116272625,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,170.0,10000.0,1.0,True,True,True,True,-14.98621570953258,-4062.7001351939803,-0.0035620692457484443,-0.9656620114621247,-1402.0849609375,False,0.7768040924515426,0.02687945836559521,False,1,26,96.537109375,1044.1005859375,8.944379745003824,243,True,False,success,soft_window,"{""soft_window"": 26}",2.104654818683916e-16,2.7841236850026503e-10,-0.01519224698779198,5.773159728050814e-15,,,0.7768040924515426,0.02687945836559521,0.984807753012208,1.0000000000000058,1.0000000000000058,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149903420693.5078,152042149718.04883,435.350399634015,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.01960784313725499,0.9602439145955881,-0.024895023050582443,-0.9968140561848233,,,,,0.9751049769494176,0.0031859438151766975,0.660937410831621,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,170.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000047244.99414,376723920502.0879,245.09233299130722,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.047619047619047436,0.904173429199429,-0.038926041995105076,-0.9877684143080272,,,,,0.9610739580048949,0.012231585691972835,0.6466899413308445,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149999961308.2578,150158652999.47363,21.693906402381284,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306287,1.0403600897449736,0.006308609146797872,-0.9776460308871338,,,,,1.0063086091467979,0.022353969112866197,0.6809424166791579,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.0,175.0,10000.0,1.0,True,True,True,True,-79.19029577566481,-3603.0741488999756,-0.01882271833073839,-0.8564136446924371,-4727.6806640625,False,0.7077181783811932,0.021957297513013917,False,1,7,2218.6337890625,2824.8642578125,3.50178163891905,224,True,False,success,soft_window,"{""soft_window"": 7}",2.104654818683916e-16,7.532826887231708e-10,-0.003805301908254566,5.773159728050814e-15,,,0.7077181783811932,0.021957297513013917,0.9961946980917454,1.0000000000000058,1.0000000000000058,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.02,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149975691666.3994,152426639843.34473,450.8625781484721,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.019607843137254777,0.9601427857149094,-0.013620267358068205,-0.9966583439091299,,,,,0.9863797326419318,0.003341656090870114,0.6609374154950584,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,1.05,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000023712.72363,376200512372.5088,192.34946452680813,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.04761904761904765,0.9043107315844968,-0.02781352146132343,-0.9878327521071044,,,,,0.9721864785386766,0.012167247892895574,0.6466899457316065,False,0,0,0,0.0,0,,{}
baseline_soft_linear_3e4,0.98,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149555731584.85742,149555731584.85742,417.52366748323516,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",0.020408163265306076,1.0090333629213488,-0.12518223472029355,-0.8461621706431245,,,,,0.8748177652797064,0.15383782935687554,0.6151003680090517,False,0,0,0,0.0,0,,{}
