controller_name,variant_name,commit_timing,radial_magnitude_label,radial_magnitude,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,baseline_non_crossing_case,crossing_occurs,first_crossing_step,phase34_compatible_crossing,recoverable_crossing,recoverable_state,new_crossing_on_baseline_non_crossing_case,crossing_vr_ratio,crossing_vt_error_ratio,crossing_sync_error,best_post_cross_distance,best_post_cross_sync,min_abs_radius_error,min_abs_radius_error_ratio,closest_approach_step,best_crossing_potential,dominant_failure_label,overspeed,instability,max_speed_ratio,termination_reason,simulator_success_label
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,165.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.104132770321609,8.00227560107698,149998084640.3379,0.019999744618711717,80,0.8206928664311639,near_crossing,False,False,1.0006279098955246,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,170.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.235460611939404,8.014708771882656,149995287083.00488,0.019999371611067317,80,0.8199415222414692,near_crossing,False,False,1.4829976431348244,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,170.0,10000.0,1.0,False,False,,False,False,False,False,,,,4.339548579853946,3.999999999999999,0.0,0.0,1,0.8166560254058768,near_crossing,False,False,0.9297573635468862,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,170.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.104102931459705,8.00224166175078,149997448291.60742,0.019999659772214323,80,0.820877895966758,near_crossing,False,False,1.0006279095621364,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,0.98,175.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.235484159963166,8.014735896624375,149995795659.06055,0.019999439421208073,80,0.8198746747332166,near_crossing,False,False,1.4844330257753944,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.0,175.0,10000.0,1.0,False,False,,False,False,False,False,,,,4.336044448589056,3.999999999999999,0.0,0.0,1,0.8213963323799434,near_crossing,False,False,0.9299684805687911,max_steps,False
phase37a_radial_commit_timing,early_commit_medium,early_commit,medium,0.105,1.02,175.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.104074947383193,8.002209832064114,149996851497.79688,0.01999958019970625,80,0.8193743880771149,near_crossing,False,False,1.0006279092484398,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,0.98,150.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974656661983094,8.027849061410937,149994827499.5996,0.019999310333279948,89,0.8200575739595385,near_crossing,False,False,1.270396664986756,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.0,150.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.263289748115994,3.999999999999999,0.0,0.0,1,0.7720677359553495,near_crossing,False,False,0.9565684755794986,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.02,150.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.000864756594101,8.015679678257708,150000000000.0,0.02,1,0.8197932892461518,near_crossing,False,False,1.0001924617619131,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,0.98,165.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974732673049084,8.027934041840938,149996420835.0537,0.01999952277800716,89,0.8207157483021901,near_crossing,False,False,1.3376971234997421,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.0,165.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.298695139690067,3.999999999999999,0.0,0.0,1,0.8089852465208062,near_crossing,False,False,0.956553610199387,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.02,165.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.000751940935526,8.01554827375552,150000000000.0,0.02,1,0.8208460955649259,near_crossing,False,False,1.0001924610452442,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,0.98,170.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974759507884302,8.027964043164427,149996983343.11426,0.0199995977790819,89,0.820612314947244,near_crossing,False,False,1.3484579227095224,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.0,170.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.298915825472347,3.999999999999999,0.0,0.0,1,0.8166560254058768,near_crossing,False,False,0.9565833933500675,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.02,170.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.00071851770638,8.015510737316614,149999371617.45117,0.019999916215660156,89,0.8206003008861597,near_crossing,False,False,1.0001924608416328,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,0.98,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,8.974786309475133,8.027994007298958,149997545153.89355,0.019999672687185808,89,0.820235733017598,near_crossing,False,False,1.3528549909416925,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.0,175.0,8000.0,1.0,False,False,,False,False,False,False,,,,4.300455753147031,3.999999999999999,0.0,0.0,1,0.8213963323799434,near_crossing,False,False,0.9566349113408428,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,1.02,175.0,8000.0,1.0,True,False,,False,False,False,False,,,,9.00068653349468,8.015474816952812,149998698128.21777,0.019999826417095704,89,0.821027511378169,near_crossing,False,False,1.0001924606460526,max_steps,False
phase37a_radial_commit_timing,mid_commit_low,mid_commit,low,0.055,0.98,150.0,10000.0,1.0,True,False,,False,False,False,False,,,,9.014741698855808,8.005394217761458,149994507507.09375,0.0199992676676125,6841,0.8200169924147765,near_crossing,False,False,1.3437266259516258,max_steps,False
