controller_name,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,success,capture_entered,lock_entered,crossing_occurs,crossing_vr,crossing_vt_error,crossing_vr_ratio,crossing_vt_error_ratio,crossing_radius_error,recoverable_crossing,crossing_score,recoverability_score,near_miss,radius_crossings_total,first_crossing_step,minimum_abs_radius_error,final_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_transfer_stage,transfer_stage_counts_json,intercept_classification_counts_json,initial_energy_error_ratio,final_energy_error_ratio,initial_angular_momentum_error_ratio,final_angular_momentum_error_ratio,mean_energy_error_ratio,mean_angular_momentum_error_ratio,max_speed_ratio,overspeed,turning_point_count,burn_a_steps,burn_b_steps,coast_arc_steps,safe_coast_steps,burn_a_count,burn_b_count,insertion_attempts,insertion_windows,successful_insertion_windows,handoff_ready_count,handoff_entered,handoff_rate,predicted_crossing_step,burn_b_solver_evals,burn_b_solver_score,insertion_window_conversion_rate,chosen_burn_timing,chosen_burn_angle_deg,chosen_burn_magnitude,chosen_burn_duration,chosen_insertion_mode,pre_burn_state_json,post_burn_state_json,basin_score,handoff_success,controller_variant,sync_strategy,initial_vt_error_ratio,final_vt_error_ratio,min_abs_vt_error_ratio,mean_abs_vt_error_ratio,best_vt_error_before_crossing,best_vt_band,best_vt_band_rank,crossing_vt_band,min_distance_to_recoverable,mean_distance_to_recoverable,pre_burn_vt_error_ratio,post_burn_vt_error_ratio,pre_post_burn_vt_correction,vt_improvement_burn_a_to_b,sync_error_at_crossing,best_sync_error,best_pre_cross_sync_window,best_sync_band,best_sync_band_rank,crossing_sync_band,predicted_crossing_step_at_burn,actual_crossing_step,timing_offset_steps,predicted_crossing_vt_error_ratio,actual_crossing_vt_error_ratio,predicted_crossing_sync_error,sync_burn_steps,sync_hold_steps,sync_stage_counts_json,instability
baseline_soft_linear_3e4,1.02,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149975691666.3994,152426639843.34473,450.8625781484721,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9601427857149094,-0.013620267358068205,-0.9966583439091299,,,0.6609374154950584,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,175.0,10000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,375000023712.72363,376200512372.5088,192.34946452680813,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.9043107315844968,-0.02781352146132343,-0.9878327521071044,,,0.6466899457316065,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149555731584.85742,149555731584.85742,417.52366748323516,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.0090333629213488,-0.12518223472029355,-0.8461621706431245,,,0.6151003680090517,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,150.0,12000.0,1.0,True,True,True,True,-39.80874820360246,-4852.3106761866475,-0.009462129762191896,-1.1533443108967762,-1244.0107421875,False,0.9340300045979194,0.03135376273812549,False,4,55,51.9462890625,217.6943359375,21.73237089833826,270,True,False,success,soft_window,"{""soft_window"": 55}",{},0.0,5.8064900861706823e-11,-0.1339745962155613,5.10702591327572e-15,,,1.0000000000000049,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.613377243587105,4.613377243587105,4.613377243587105,outside_3x,0,outside_3x,,55,,,-1.1533443108967762,,,,,
baseline_soft_linear_3e4,1.02,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000125183.22852,150024760502.80078,415.61731552270584,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.01960784313725499,0.9216906343845764,-0.14250707428745557,-0.8287966577755773,,,0.5950953686791332,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,150.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374726998120.56445,374727036567.166,414.4369643322249,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.8599698975241604,-0.15484574527148331,-0.816415861349129,,,0.5808479001694785,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149761475838.2578,149761475838.2578,217.67228592638764,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306076,1.009589035548744,-0.024267568725401145,-0.8296418556332603,,,0.6151003820960751,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.0,165.0,12000.0,1.0,True,True,True,True,-49.89490215814327,-3804.1918098357014,-0.011859504757034702,-0.904217242924399,-3756.763671875,False,0.7376052005488627,0.020534347013872814,False,1,47,861.8408203125,1917.5859375,12.276941494087875,260,True,False,success,soft_window,"{""soft_window"": 47}",{},2.104654818683916e-16,5.113431463687706e-10,-0.03407417371093191,4.884981308350689e-15,,,1.0000000000000049,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.616868971697596,3.616868971697596,3.616868971697596,outside_3x,0,outside_3x,,47,,,-0.904217242924399,,,,,
baseline_soft_linear_3e4,1.02,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,150000064799.59863,150019903121.16992,215.2844167433694,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.019607843137254777,0.9222042531443442,-0.04359091640216495,-0.8103000766065193,,,0.5950953816829558,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,1.05,165.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,374865589284.35547,374865609250.27637,213.80999930514116,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.04761904761904765,0.8604549772793049,-0.057352915661626036,-0.796517044517119,,,0.5808479124408409,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_soft_linear_3e4,0.98,170.0,12000.0,1.0,False,False,False,False,,,,,,False,,,False,0,,149837578438.94922,149837578438.94922,147.0267319398061,100000,False,True,max_steps,unconditioned_descent,"{""unconditioned_descent"": 100000}",{},0.020408163265306496,1.0097853778321344,-0.005193942399973062,-0.826751467391466,,,0.6151003870707793,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
