controller,task_id,SR_ep,return,steps,r_err,v_err,align,fuel_used,violations,success,ended_by_max,ended_by_violation,target_radius,e,mass,thrust_limit
greedy_energy_rt,random_12,1.0,-551.2400876040568,8455,0.011667696449672114,0.023465026778497135,0.9865807203224258,4721469.379366397,0,True,0,0,672518893415.0863,0.041569008939934586,1000.0,134.14536705017707
greedy_energy_rt,random_13,1.0,-134.98712416802437,176,0.007484876793083589,0.022676788902359597,0.9936156138409862,830494.7282884424,0,True,0,0,8108285010823.027,0.3627390104602885,1000.0,140.6798921640596
greedy_energy_rt,random_14,0.0,1863.7522911486706,30000,0.03582280180651016,0.017991609727286372,0.9854909705785343,1066922.6913496526,0,False,1,0,2088642119321.361,0.3236328684138678,600.0,112.89339862581824
greedy_energy_rt,random_15,0.0,-670.4058475349822,30000,0.13624922713193444,0.1069343285351122,0.9824307463875277,871657.9809538723,0,False,1,0,4868855537837.845,0.36637721804762013,600.0,137.34194306225976
greedy_energy_rt,random_16,1.0,517.1480353680661,14586,0.013360970096551994,0.025214303285077233,0.986651710514217,2019121.297837532,0,True,0,0,1078633832385.4099,0.28111613359826493,720.0,130.22601255683287
greedy_energy_rt,random_17,0.0,4746.03712891114,30000,0.0013909404475918106,0.03256663472272513,0.9999957372657674,442414.9909834229,0,False,1,0,1891107640129.1392,0.3589200346152126,600.0,118.08115109356024
greedy_energy_rt,random_18,0.0,3679.5614522553055,30000,0.03877024275681225,0.048227780494193295,0.9872787695044705,502003.3076995645,0,False,1,0,9441601356783.166,0.04387709849702244,600.0,141.9006477930322
greedy_energy_rt,random_19,1.0,827.4187563466087,9791,0.0003742423040071872,0.029352543570213913,0.9977399593975389,1332677.762639412,0,True,0,0,1524598267174.8235,0.10591957606788288,720.0,104.15080910483258
greedy_energy_rt,random_20,0.0,3733.6566935327955,30000,0.030109040276438535,0.04053226640180693,0.9870885736529402,538604.669863463,0,False,1,0,5555269280203.029,0.06768296923676101,600.0,109.29750482012459
expert_eco,fixed_1,0.0,-3126.5245623969636,30000,0.3112266091709181,0.24054609337238955,0.9964936441894556,1799999.9999396314,0,False,1,0,500000000000.0,0.0,720.0,1.0
expert_eco,fixed_2,1.0,899.0925019789316,6960,0.004326356402375314,0.028078767293223138,0.9947788478245372,377459.9999874255,0,True,0,0,700000000000.0,0.2,720.0,1.0
expert_eco,fixed_3,0.0,-9170.536618962307,30000,0.24626750823563354,0.0028913608940781283,0.992321118876935,719999.9999759505,0,False,1,0,500000000000.0,0.05,720.0,0.4
expert_eco,fixed_4,0.0,1023.3988278989343,30000,0.0912587718124818,0.012716944475508073,0.9989000302201687,1799999.9999396314,0,False,1,0,500000000000.0,0.1,1000.0,1.0
expert_eco,fixed_5,0.0,2692.2785821899756,30000,0.03400275664021228,0.05672171137960068,0.9838112801855152,1799999.9999396314,0,False,1,0,2000000000000.0,0.0,720.0,1.0
expert_eco,random_1,1.0,-13.173276656004202,18882,0.014489867505323894,0.01583266563831052,0.9779157508170191,5565105.561330637,0,True,0,0,2758007604077.5684,0.3549670093467783,720.0,125.1339032040029
expert_eco,random_2,1.0,296.7958914696454,6435,0.01438118971850854,0.025046548446904793,0.9820125586516218,3171726.5340187307,0,True,0,0,2283613939176.9795,0.1376694853326321,720.0,118.19171041002261
expert_eco,random_3,0.0,5052.911756715521,30000,0.018143925371730207,0.025645113279810762,0.999979315497672,0.0,0,False,1,0,3071390189122.923,0.1171889361969364,600.0,147.310722359482
