controller_name,post_cross_mode,r0_over_target,initial_velocity_angle_deg,thrust_scale,target_radius_scale,crossing_occurs,crossing_step,crossing_sync,crossing_distance_to_recoverable,crossing_vr_ratio,crossing_vt_error_ratio,best_post_cross_step,best_post_cross_sync,best_distance_to_recoverable,best_post_cross_r_error_ratio,best_post_cross_vr_ratio,best_post_cross_vt_error_ratio,recoverable_state,recoverable_crossing,capture_entered,lock_entered,success,post_cross_duration,actual_post_cross_steps,control_smoothness,mean_post_cross_control_norm,max_post_cross_control_norm,radius_crossings_total,minimum_abs_radius_error,tail_mean_abs_vr,steps,terminated,truncated,termination_reason,dominant_stage,stage_counts_json,max_speed_ratio,overspeed,near_miss
phase34_post_cross_sync,radius_priority,1.02,150.0,10000.0,1.0,False,,,,,,100000,23.93995187603564,25.698914646165928,0.0226978337374431,0.4787990375207128,-0.5523955299648045,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000208001.97266,2014.8353784766816,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.970206527515042,False,False
phase34_post_cross_sync,radius_priority,0.98,165.0,10000.0,1.0,False,,,,,,100000,7.9703722353456765,8.647840152010238,-0.019925930588364192,0.0066745625576575965,-0.8346755081097014,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149444479412.73145,55.39604766297371,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.407866913416998,False,False
phase34_post_cross_sync,radius_priority,1.0,165.0,10000.0,1.0,True,389,2.752643422392163,2.8547543831261937,-0.015133760631638968,-0.6881608555980407,449,0.9738243433496433,0.9738254314570556,-2.3556686197916668e-09,-2.9115296795399348e-05,-0.24345608583741082,True,True,True,True,True,360,60,5.440983318926547e-06,0.023000433284900645,0.026,1,1938.96875,12.07493237607851,661,True,False,success,phase76_handoff,"{""capture"": 9, ""lock"": 203, ""phase76_handoff"": 389, ""post_cross_radius_priority"": 60}",1.0000000000000056,False,False
phase34_post_cross_sync,radius_priority,1.02,165.0,10000.0,1.0,False,,,,,,100000,12.315828847845541,15.105817536665972,0.021392211662753256,0.24631657695691084,-0.4531699508583222,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000107669.6914,1036.6874215977077,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9681341043581951,False,False
phase34_post_cross_sync,radius_priority,0.98,170.0,10000.0,1.0,False,,,,,,100000,7.970411585391562,8.647876419137122,-0.019926028963478906,0.0066745625962456746,-0.8346755078882389,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149445217226.0918,55.39604766297721,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.4140588231546323,False,False
phase34_post_cross_sync,radius_priority,1.0,170.0,10000.0,1.0,True,248,3.7095654711820134,3.7105918780553617,-0.0017454054548535242,-0.9273913677955034,339,0.9914978825365227,0.9914978825782987,-8.453776041666667e-11,-1.8203351241669754e-07,-0.24787447063413068,True,True,True,True,True,360,91,3.1005455954528748e-06,0.023939989476948392,0.025999999999999995,1,131.359375,9.195647751533134,551,True,False,success,phase76_handoff,"{""capture"": 9, ""lock"": 203, ""phase76_handoff"": 248, ""post_cross_radius_priority"": 91}",1.0000000000000058,False,False
phase34_post_cross_sync,radius_priority,1.02,170.0,10000.0,1.0,False,,,,,,100000,8.3723738688075,11.852040672534082,0.02093093467201875,0.16414235461975824,-0.4342696781677884,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000072238.28223,690.9551264900366,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9677447593910704,False,False
phase34_post_cross_sync,radius_priority,0.98,175.0,10000.0,1.0,False,,,,,,100000,7.970449843717916,8.647911680102615,-0.01992612460929479,0.006674562633733219,-0.8346755076732372,False,False,False,False,False,360,0,0.0,0.0,0.0,0,149445934569.71094,55.39604766298058,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.4177865926601643,False,False
phase34_post_cross_sync,radius_priority,1.0,175.0,10000.0,1.0,True,182,3.693346796891048,3.6937519207248406,-0.0010941096385804379,-0.923336699222762,272,0.9997572677244452,0.9997572677280787,-1.0425390625e-11,-5.3908730259932034e-08,-0.2499393169311113,True,True,True,True,True,360,90,3.06118482210553e-06,0.023962518325290796,0.026000000000000002,5,7.3349609375,4.6729722638002675,484,True,False,success,lock,"{""capture"": 9, ""lock"": 203, ""phase76_handoff"": 182, ""post_cross_radius_priority"": 90}",1.0000000000000058,False,False
phase34_post_cross_sync,radius_priority,1.02,175.0,10000.0,1.0,False,,,,,,100000,8.18495007494703,9.279726061515845,0.020462375187367578,0.08064824304715694,-0.422755860464827,False,False,False,False,False,360,0,0.0,0.0,0.0,0,150000036257.10254,339.6743835014483,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9675103243982137,False,False
phase34_post_cross_sync,sync_balanced,0.98,150.0,8000.0,1.0,False,,,,,,100000,7.976143165121146,8.72362835422565,-0.019940357912802863,0.014300076248037872,-0.8650000513147283,False,False,False,False,False,520,0,0.0,0.0,0.0,0,149552684346.02148,44.324188967479536,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.2998219393460562,False,False
phase34_post_cross_sync,sync_balanced,1.0,150.0,8000.0,1.0,True,1716,3.000745803957997,3.078230071647359,-0.013726252132647544,-0.7501864509894992,1808,0.9967008125597477,0.9967008161786063,-3.755262630208333e-09,1.6984207016225423e-06,-0.24917520313993693,True,True,True,True,True,520,92,3.3164939556767286e-07,0.02079816110730589,0.021,1,1161.72265625,9.953669071038961,2024,True,False,success,phase76_handoff,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 1716, ""post_cross_sync_balanced"": 92}",1.0000000000000069,False,False
phase34_post_cross_sync,sync_balanced,1.02,150.0,8000.0,1.0,False,,,,,,100000,24.080776187650365,25.806354047525538,0.022712403407792577,0.4816155237530073,-0.47087713745199994,False,False,False,False,False,520,0,0.0,0.0,0.0,0,150000208058.7246,2026.6388578588494,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9741850063012878,False,False
phase34_post_cross_sync,sync_balanced,0.98,165.0,8000.0,1.0,False,,,,,,100000,7.976264727244375,8.723739497784022,-0.01994066181811094,0.014300075782831687,-0.8650000508535897,False,False,False,False,False,520,0,0.0,0.0,0.0,0,149554963635.83203,44.324188966992175,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3277791329177384,False,False
phase34_post_cross_sync,sync_balanced,1.0,165.0,8000.0,1.0,True,893,3.199443523809586,3.2157375309180525,-0.006466189162337594,-0.7998608809523965,993,0.9954175877446036,0.9954175878348359,-1.3318477864583333e-09,-2.678459977660755e-07,-0.2488543969361509,True,True,True,True,True,520,100,8.645181087370526e-08,0.020948109929476044,0.021000000000000005,1,547.212890625,13.625810819435396,1209,True,False,success,phase76_handoff,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 893, ""post_cross_sync_balanced"": 100}",1.000000000000007,False,False
phase34_post_cross_sync,sync_balanced,1.02,165.0,8000.0,1.0,False,,,,,,100000,12.403800504358593,15.143989237594258,0.02140060030893216,0.24807601008717187,-0.3715198601031878,False,False,False,False,False,520,0,0.0,0.0,0.0,0,150000107699.07715,1044.0342145911768,100000,False,True,max_steps,coast_arc,"{""burn_a"": 18, ""coast_arc"": 99982}",0.9725342061045669,False,False
phase34_post_cross_sync,sync_balanced,0.98,170.0,8000.0,1.0,False,,,,,,100000,7.9763049828761465,8.723776303341303,-0.019940762457190366,0.014300075628899494,-0.8650000507010032,False,False,False,False,False,520,0,0.0,0.0,0.0,0,149555718428.92773,44.32418896683088,100000,False,True,max_steps,phase76_handoff,"{""burn_a"": 18, ""burn_b"": 46, ""coast_arc"": 1, ""phase76_handoff"": 99935}",1.3330339359186443,False,False
phase34_post_cross_sync,sync_balanced,1.0,170.0,8000.0,1.0,True,182,2.9687569948066055,3.0397377531121297,-0.013061202295072412,-0.7421892487016514,273,0.9842220309144811,0.9842220346310742,-3.314224739583333e-09,1.7104558464773021e-06,-0.24605550772862028,True,True,True,True,True,520,91,3.0901959746501804e-07,0.020812257439157246,0.021000000000000005,1,2685.416015625,13.562275732366968,489,True,False,success,lock,"{""capture"": 11, ""lock"": 205, ""phase76_handoff"": 182, ""post_cross_sync_balanced"": 91}",1.000000000000007,False,False
